val_theta0,val_theta1,loss_values
2.5,2.5,0.5957541465759277
2.5014352798461914,2.499934673309326,2.665982723236084
2.502869129180908,2.4998695850372314,2.661856174468994
2.5043015480041504,2.499804735183716,2.657738208770752
2.505732536315918,2.4997398853302,2.65362811088562
2.507162094116211,2.4996752738952637,2.649526596069336
2.5085902214050293,2.499610662460327,2.645433187484741
2.510016918182373,2.4995462894439697,2.641348123550415
2.511442184448242,2.4994821548461914,2.63727068901062
2.5128660202026367,2.499418020248413,2.633202075958252
2.5142884254455566,2.499354124069214,2.6291415691375732
2.515709400177002,2.4992902278900146,2.625089168548584
2.5171289443969727,2.4992265701293945,2.621044635772705
2.5185470581054688,2.4991631507873535,2.617008924484253
2.5199637413024902,2.4990997314453125,2.612981081008911
2.521378993988037,2.4990365505218506,2.6089608669281006
2.5227928161621094,2.4989733695983887,2.6049492359161377
2.524205207824707,2.498910427093506,2.600945472717285
2.52561616897583,2.498847484588623,2.596950054168701
2.5270256996154785,2.4987847805023193,2.5929627418518066
2.5284337997436523,2.4987223148345947,2.5889828205108643
2.5298404693603516,2.49865984916687,2.5850117206573486
2.531245708465576,2.4985976219177246,2.5810484886169434
2.532649517059326,2.498535394668579,2.5770931243896484
2.5340518951416016,2.4984734058380127,2.5731453895568848
2.5354530811309814,2.4984116554260254,2.5692062377929688
2.5368528366088867,2.498349905014038,2.565274477005005
2.5382511615753174,2.49828839302063,2.5613503456115723
2.5396480560302734,2.4982268810272217,2.557434320449829
2.541043519973755,2.4981656074523926,2.5535264015197754
2.5424375534057617,2.4981043338775635,2.549625873565674
2.543830156326294,2.4980432987213135,2.54573392868042
2.5452213287353516,2.4979825019836426,2.5418496131896973
2.5466110706329346,2.4979217052459717,2.537972927093506
2.547999620437622,2.49786114692688,2.534104585647583
2.549386739730835,2.497800588607788,2.530242919921875
2.5507724285125732,2.4977402687072754,2.5263898372650146
2.552156686782837,2.4976799488067627,2.5225443840026855
2.553539514541626,2.497619867324829,2.518706798553467
2.5549209117889404,2.4975600242614746,2.5148766040802
2.5563011169433594,2.49750018119812,2.511054515838623
2.5576798915863037,2.4974405765533447,2.507239818572998
2.5590572357177734,2.4973809719085693,2.503432035446167
2.5604331493377686,2.497321605682373,2.4996330738067627
2.561807632446289,2.4972622394561768,2.4958410263061523
2.563180923461914,2.4972031116485596,2.4920575618743896
2.5645527839660645,2.4971442222595215,2.488280773162842
2.5659232139587402,2.4970853328704834,2.4845118522644043
2.5672922134399414,2.4970266819000244,2.480750560760498
2.568660020828247,2.4969680309295654,2.476996898651123
2.570026397705078,2.4969096183776855,2.4732506275177
2.5713913440704346,2.4968512058258057,2.4695115089416504
2.5727548599243164,2.496793031692505,2.46578049659729
2.5741171836853027,2.496734857559204,2.462057113647461
2.5754780769348145,2.4966769218444824,2.458340644836426
2.5768375396728516,2.49661922454834,2.4546315670013428
2.578195571899414,2.4965615272521973,2.45093035697937
2.579552412033081,2.496504068374634,2.447237014770508
2.5809078216552734,2.4964466094970703,2.4435505867004395
2.582261800765991,2.496389389038086,2.439871311187744
2.5836145877838135,2.4963321685791016,2.4362003803253174
2.584965944290161,2.4962751865386963,2.4325358867645264
2.586315870285034,2.49621844291687,2.4288787841796875
2.5876646041870117,2.496161699295044,2.42522931098938
2.5890119075775146,2.496105194091797,2.4215869903564453
2.590357780456543,2.49604868888855,2.417952060699463
2.5917022228240967,2.495992422103882,2.4143242835998535
2.593045473098755,2.495936155319214,2.4107048511505127
2.5943872928619385,2.495880126953125,2.4070913791656494
2.5957279205322266,2.495824098587036,2.4034862518310547
2.59706711769104,2.4957683086395264,2.3998875617980957
2.598404884338379,2.4957125186920166,2.3962957859039307
2.5997414588928223,2.495656967163086,2.392712354660034
2.601076602935791,2.4956016540527344,2.3891353607177734
2.602410316467285,2.495546340942383,2.3855655193328857
2.603742837905884,2.4954912662506104,2.3820033073425293
2.605073928833008,2.495436191558838,2.378448247909546
2.6064038276672363,2.4953813552856445,2.3749003410339355
2.6077322959899902,2.495326519012451,2.37135910987854
2.6090593338012695,2.495271921157837,2.3678252696990967
2.6103851795196533,2.4952173233032227,2.3642985820770264
2.6117095947265625,2.4951629638671875,2.36077880859375
2.613032817840576,2.4951086044311523,2.357266664505005
2.6143546104431152,2.4950544834136963,2.3537607192993164
2.6156749725341797,2.4950006008148193,2.350262403488159
2.6169941425323486,2.4949467182159424,2.346771240234375
2.618311882019043,2.4948930740356445,2.3432869911193848
2.619628429412842,2.4948394298553467,2.3398098945617676
2.620943546295166,2.494786024093628,2.336339235305786
2.6222574710845947,2.494732618331909,2.332875967025757
2.623569965362549,2.4946794509887695,2.3294196128845215
2.6248812675476074,2.49462628364563,2.32597017288208
2.6261911392211914,2.4945733547210693,2.3225274085998535
2.62749981880188,2.494520425796509,2.319091558456421
2.6288070678710938,2.4944677352905273,2.3156628608703613
2.630113124847412,2.494415044784546,2.3122410774230957
2.631417751312256,2.4943625926971436,2.308825969696045
2.632721185684204,2.4943103790283203,2.305418014526367
2.6340231895446777,2.494258165359497,2.3020167350769043
2.635324001312256,2.494206190109253,2.2986221313476562
2.6366233825683594,2.494154214859009,2.295234203338623
2.6379215717315674,2.4941024780273438,2.2918541431427
2.639218330383301,2.4940507411956787,2.2884795665740967
2.6405138969421387,2.4939992427825928,2.2851128578186035
2.641808032989502,2.493947744369507,2.281752347946167
2.6431009769439697,2.493896484375,2.2783989906311035
2.644392728805542,2.493845224380493,2.2750518321990967
2.6456830501556396,2.4937942028045654,2.2717113494873047
2.646972179412842,2.4937431812286377,2.2683777809143066
2.6482598781585693,2.493692398071289,2.2650506496429443
2.6495463848114014,2.4936416149139404,2.261730909347534
2.650831460952759,2.493591070175171,2.2584173679351807
2.6521153450012207,2.4935405254364014,2.2551109790802
2.653398036956787,2.493490219116211,2.2518105506896973
2.654679298400879,2.4934401512145996,2.248516798019409
2.655959367752075,2.4933900833129883,2.245230197906494
2.657238006591797,2.493340253829956,2.2419495582580566
2.658515453338623,2.493290424346924,2.2386765480041504
2.6597917079925537,2.4932408332824707,2.2354094982147217
2.6610665321350098,2.4931912422180176,2.2321486473083496
2.6623401641845703,2.4931418895721436,2.2288947105407715
2.6636126041412354,2.4930925369262695,2.225647449493408
2.664883613586426,2.4930434226989746,2.2224059104919434
2.6661534309387207,2.4929943084716797,2.2191720008850098
2.66742205619812,2.492945432662964,2.2159438133239746
2.668689250946045,2.492896556854248,2.2127223014831543
2.669955253601074,2.4928479194641113,2.209507465362549
2.671220064163208,2.4927992820739746,2.206298828125
2.672483444213867,2.492750883102417,2.203096389770508
2.673745632171631,2.4927024841308594,2.1999013423919678
2.675006628036499,2.492654323577881,2.196712017059326
2.6762661933898926,2.4926061630249023,2.193528652191162
2.6775245666503906,2.492558240890503,2.19035267829895
2.678781747817993,2.4925103187561035,2.187182903289795
2.680037498474121,2.492462635040283,2.184018850326538
2.6812920570373535,2.492414951324463,2.1808619499206543
2.6825454235076904,2.4923675060272217,2.177710771560669
2.683797597885132,2.4923200607299805,2.1745662689208984
2.6850483417510986,2.4922728538513184,2.1714279651641846
2.68629789352417,2.4922256469726562,2.1682963371276855
2.6875462532043457,2.4921786785125732,2.165170431137085
2.688793182373047,2.4921317100524902,2.16205096244812
2.6900389194488525,2.4920849800109863,2.15893816947937
2.6912834644317627,2.4920382499694824,2.1558315753936768
2.6925268173217773,2.4919917583465576,2.152730941772461
2.6937689781188965,2.491945266723633,2.1496362686157227
2.695009708404541,2.491899013519287,2.14654803276062
2.69624924659729,2.4918527603149414,2.1434664726257324
2.6974875926971436,2.491806745529175,2.1403908729553223
2.6987247467041016,2.491760730743408,2.1373209953308105
2.699960470199585,2.4917149543762207,2.1342575550079346
2.701195001602173,2.491669178009033,2.1312003135681152
2.7024283409118652,2.491623640060425,2.1281495094299316
2.703660488128662,2.4915781021118164,2.1251046657562256
2.7048914432525635,2.491532802581787,2.122066020965576
2.7061212062835693,2.491487503051758,2.119032621383667
2.7073495388031006,2.4914424419403076,2.1160061359405518
2.7085766792297363,2.4913973808288574,2.112985610961914
2.7098026275634766,2.4913525581359863,2.109971284866333
2.7110273838043213,2.4913077354431152,2.1069626808166504
2.7122509479522705,2.4912631511688232,2.1039602756500244
2.713473320007324,2.4912185668945312,2.100963592529297
2.7146942615509033,2.4911742210388184,2.097973346710205
2.715914011001587,2.4911298751831055,2.09498929977417
2.717132568359375,2.4910857677459717,2.0920112133026123
2.7183499336242676,2.491041660308838,2.089038610458374
2.7195661067962646,2.490997791290283,2.0860724449157715
2.720781087875366,2.4909539222717285,2.0831122398376465
2.7219948768615723,2.490910291671753,2.080157518386841
2.723207473754883,2.4908666610717773,2.0772087574005127
2.7244186401367188,2.490823268890381,2.074265956878662
2.725628614425659,2.4907798767089844,2.0713295936584473
2.726837396621704,2.490736722946167,2.068398952484131
2.7280449867248535,2.4906935691833496,2.065474271774292
2.7292513847351074,2.4906506538391113,2.0625555515289307
2.730456590652466,2.490607738494873,2.0596423149108887
2.7316606044769287,2.490565061569214,2.056734800338745
2.732863426208496,2.4905223846435547,2.0538337230682373
2.734065055847168,2.4904799461364746,2.050938129425049
2.7352654933929443,2.4904375076293945,2.0480480194091797
2.736464738845825,2.4903953075408936,2.045163869857788
2.7376627922058105,2.4903531074523926,2.042285442352295
2.7388596534729004,2.4903111457824707,2.0394129753112793
2.7400553226470947,2.490269184112549,2.036546230316162
2.7412497997283936,2.490227460861206,2.0336849689483643
2.742443084716797,2.4901857376098633,2.030829906463623
2.7436351776123047,2.4901442527770996,2.027980089187622
2.744826078414917,2.490102767944336,2.0251362323760986
2.7460155487060547,2.4900612831115723,2.0222980976104736
2.747203826904297,2.4900200366973877,2.019465923309326
2.7483909130096436,2.489978790283203,2.0166397094726562
2.749577045440674,2.4899377822875977,2.0138192176818848
2.7507619857788086,2.489896774291992,2.0110034942626953
2.751945734024048,2.489856004714966,2.0081934928894043
2.7531282901763916,2.4898152351379395,2.005389451980591
2.75430965423584,2.489774703979492,2.0025908946990967
2.7554898262023926,2.489734172821045,1.9997981786727905
2.75666880607605,2.4896938800811768,1.9970108270645142
2.7578465938568115,2.4896535873413086,1.9942290782928467
2.7590231895446777,2.4896135330200195,1.9914534091949463
2.7601985931396484,2.4895734786987305,1.988682746887207
2.7613728046417236,2.4895336627960205,1.9859180450439453
2.7625458240509033,2.4894938468933105,1.983158826828003
2.7637176513671875,2.4894542694091797,1.9804050922393799
2.764888286590576,2.489414691925049,1.9776569604873657
2.7660577297210693,2.489375352859497,1.97491455078125
2.767225980758667,2.4893360137939453,1.972177505493164
2.768393039703369,2.4892966747283936,1.969445824623108
2.769558906555176,2.489257574081421,1.9667198657989502
2.770723581314087,2.4892184734344482,1.9639995098114014
2.7718873023986816,2.4891796112060547,1.9612846374511719
2.773049831390381,2.489140748977661,1.9585750102996826
2.7742111682891846,2.4891021251678467,1.9558703899383545
2.7753713130950928,2.4890635013580322,1.9531714916229248
2.7765302658081055,2.489025115966797,1.950477957725525
2.7776880264282227,2.4889867305755615,1.9477901458740234
2.7788445949554443,2.4889485836029053,1.9451076984405518
2.7799999713897705,2.488910436630249,1.9424307346343994
2.7811543941497803,2.488872528076172,1.9397588968276978
2.7823076248168945,2.4888346195220947,1.9370921850204468
2.7834596633911133,2.4887967109680176,1.9344310760498047
2.7846105098724365,2.4887590408325195,1.9317753314971924
2.7857601642608643,2.4887213706970215,1.9291250705718994
2.7869086265563965,2.4886839389801025,1.9264799356460571
2.788055896759033,2.4886465072631836,1.9238401651382446
2.7892022132873535,2.4886093139648438,1.9212062358856201
2.7903473377227783,2.488572120666504,1.918576955795288
2.7914912700653076,2.488535165786743,1.9159529209136963
2.7926340103149414,2.4884982109069824,1.9133342504501343
2.7937755584716797,2.488461494445801,1.9107210636138916
2.7949161529541016,2.488424777984619,1.9081132411956787
2.796055555343628,2.4883882999420166,1.9055101871490479
2.797193765640259,2.488351821899414,1.9029123783111572
2.798330783843994,2.4883153438568115,1.9003196954727173
2.799466609954834,2.488279104232788,1.8977327346801758
2.8006014823913574,2.4882428646087646,1.895150899887085
2.8017351627349854,2.4882068634033203,1.8925743103027344
2.8028676509857178,2.488170862197876,1.8900024890899658
2.8039989471435547,2.4881350994110107,1.8874359130859375
2.805129289627075,2.4880993366241455,1.8848745822906494
2.8062584400177,2.4880638122558594,1.882318139076233
2.8073863983154297,2.4880282878875732,1.8797670602798462
2.8085131645202637,2.487992763519287,1.8772213459014893
2.8096389770507812,2.48795747756958,1.874680757522583
2.8107635974884033,2.487922191619873,1.8721449375152588
2.81188702583313,2.487887144088745,1.8696142435073853
2.813009262084961,2.487852096557617,1.8670885562896729
2.8141305446624756,2.4878172874450684,1.8645683526992798
2.8152506351470947,2.4877824783325195,1.8620529174804688
2.8163695335388184,2.48774790763855,1.8595424890518188
2.8174874782562256,2.48771333694458,1.8570371866226196
2.8186042308807373,2.4876787662506104,1.854536771774292
2.8197197914123535,2.4876444339752197,1.852041482925415
2.820834159851074,2.487610101699829,1.8495514392852783
