val_theta0,val_theta1,loss_values_mini_batch
2.5,3.0,0.5957541465759277
2.5011818408966064,2.999821424484253,2.8066020011901855
2.5023624897003174,2.999643087387085,2.803037643432617
2.503542423248291,2.999464988708496,2.799478530883789
2.504721164703369,2.9992868900299072,2.7959256172180176
2.50589919090271,2.9991087913513184,2.7923779487609863
2.5070760250091553,2.9989309310913086,2.7888362407684326
2.508251905441284,2.998753309249878,2.7853007316589355
2.509427070617676,2.9985756874084473,2.7817702293395996
2.510601043701172,2.9983983039855957,2.7782461643218994
2.5117745399475098,2.998220920562744,2.774725914001465
2.512946844100952,2.9980437755584717,2.771212100982666
2.514117956161499,2.997866630554199,2.7677054405212402
2.5152883529663086,2.997689723968506,2.7642033100128174
2.5164575576782227,2.9975130558013916,2.760707378387451
2.5176258087158203,2.9973366260528564,2.7572174072265625
2.5187933444976807,2.997159957885742,2.753732204437256
2.5199599266052246,2.996983766555786,2.7502524852752686
2.521125555038452,2.99680757522583,2.746778964996338
2.5222902297973633,2.996631145477295,2.7433102130889893
2.523453712463379,2.996455192565918,2.7398486137390137
2.524616241455078,2.996279239654541,2.7363922595977783
2.525777816772461,2.996103048324585,2.7329413890838623
2.5269389152526855,2.995927095413208,2.72949481010437
2.5280985832214355,2.99575138092041,2.726055145263672
2.5292577743530273,2.9955759048461914,2.7226200103759766
2.5304160118103027,2.9954006671905518,2.7191903591156006
2.5315730571746826,2.995225429534912,2.7157669067382812
2.532729148864746,2.9950501918792725,2.7123491764068604
2.533884286880493,2.994875192642212,2.7089366912841797
2.535038471221924,2.9947001934051514,2.7055299282073975
2.536191701889038,2.994525194168091,2.7021286487579346
2.537344217300415,2.9943506717681885,2.698732376098633
2.5384957790374756,2.994176149368286,2.6953415870666504
2.5396463871002197,2.994001626968384,2.6919562816619873
2.5407958030700684,2.9938275814056396,2.68857741355896
2.5419445037841797,2.9936532974243164,2.6852030754089355
2.5430922508239746,2.9934792518615723,2.6818346977233887
