val_theta0_sgd,val_theta1_sgd,loss_values_sgd
2.5,2.5,0.5957541465759277
2.511439085006714,2.499484062194824,2.633211135864258
2.5227866172790527,2.498976945877075,2.600963592529297
2.534043788909912,2.4984781742095947,2.5692298412323
2.5452113151550293,2.497988700866699,2.538001775741577
2.5562894344329834,2.4975078105926514,2.507272243499756
2.5672779083251953,2.497035026550293,2.477036952972412
2.5781795978546143,2.4965710639953613,2.4472813606262207
2.588994026184082,2.496115207672119,2.418001174926758
2.599721670150757,2.495668888092041,2.3891892433166504
2.6103639602661133,2.4952309131622314,2.3608367443084717
2.6209208965301514,2.4948017597198486,2.332937240600586
2.6313936710357666,2.494380474090576,2.3054823875427246
2.641782283782959,2.4939656257629395,2.2784671783447266
2.652087926864624,2.4935593605041504,2.251882791519165
2.662311315536499,2.493162155151367,2.2257227897644043
2.672452449798584,2.492771625518799,2.199981212615967
2.682511806488037,2.4923887252807617,2.174652576446533
2.6924920082092285,2.4920146465301514,2.1497254371643066
2.702392101287842,2.4916481971740723,2.1251959800720215
2.7122130393981934,2.491288661956787,2.1010587215423584
2.7219555377960205,2.490936517715454,2.0773062705993652
2.7316205501556396,2.4905927181243896,2.0539321899414062
2.74120831489563,2.490255355834961,2.030930995941162
2.7507193088531494,2.4899260997772217,2.0082974433898926
2.7601540088653564,2.4896044731140137,1.9860252141952515
2.7695136070251465,2.489290475845337,1.9641077518463135
2.7787983417510986,2.4889819622039795,1.942539930343628
2.788007974624634,2.488680362701416,1.9213186502456665
2.797144889831543,2.488386392593384,1.9004335403442383
2.806209087371826,2.4880995750427246,1.8798812627792358
2.815199613571167,2.4878203868865967,1.859659194946289
2.824119806289673,2.487546682357788,1.8397563695907593
2.832968235015869,2.4872798919677734,1.8201723098754883
2.841744899749756,2.4870197772979736,1.8009026050567627
2.850452184677124,2.4867656230926514,1.7819385528564453
2.859090566635132,2.486518621444702,1.7632757425308228
2.867659091949463,2.486278533935547,1.7449119091033936
2.876159906387329,2.4860446453094482,1.7268396615982056
2.8845927715301514,2.485816717147827,1.7090555429458618
2.892958164215088,2.4855949878692627,1.6915547847747803
2.901256799697876,2.485379457473755,1.6743333339691162
2.909489154815674,2.485170602798462,1.6573864221572876
2.9176554679870605,2.4849674701690674,1.640709638595581
2.9257566928863525,2.484769582748413,1.6242988109588623
2.933793783187866,2.4845783710479736,1.608148217201233
2.941765308380127,2.484393358230591,1.5922578573226929
2.9496734142303467,2.484213352203369,1.576620101928711
2.957519054412842,2.4840407371520996,1.5612304210662842
2.965301752090454,2.483872413635254,1.546086072921753
2.9730224609375,2.4837100505828857,1.531182885169983
2.9806811809539795,2.4835526943206787,1.5165176391601562
2.9882795810699463,2.483401298522949,1.5020843744277954
2.995816707611084,2.4832561016082764,1.4878822565078735
3.00329327583313,2.4831154346466064,1.4739069938659668
3.0107104778289795,2.482980251312256,1.4601538181304932
3.01806902885437,2.482851028442383,1.4466183185577393
3.02536940574646,2.482726812362671,1.4332976341247559
3.032611131668091,2.48260760307312,1.4201892614364624
3.039794683456421,2.4824936389923096,1.4072906970977783
3.0469207763671875,2.48238468170166,1.3945972919464111
3.053990364074707,2.48228120803833,1.3821055889129639
3.0610032081604004,2.482182502746582,1.369813084602356
3.067960023880005,2.482088804244995,1.3577160835266113
3.074861526489258,2.4820005893707275,1.3458118438720703
3.081707715988159,2.4819178581237793,1.334096908569336
3.0884993076324463,2.4818389415740967,1.3225685358047485
3.0952367782592773,2.481764554977417,1.3112231492996216
3.1019206047058105,2.4816951751708984,1.300058126449585
3.108551502227783,2.481630325317383,1.2890703678131104
3.115129232406616,2.481570243835449,1.2782576084136963
3.121654748916626,2.481513738632202,1.2676163911819458
3.1281285285949707,2.4814629554748535,1.2571436166763306
3.134549617767334,2.4814162254333496,1.2468394041061401
3.1409201622009277,2.4813742637634277,1.236697793006897
3.1472396850585938,2.4813361167907715,1.2267177104949951
3.153508424758911,2.481302499771118,1.2168967723846436
3.1597278118133545,2.4812731742858887,1.2072309255599976
3.1658976078033447,2.481247901916504,1.197718858718872
3.17201828956604,2.481226921081543,1.1883577108383179
3.1780903339385986,2.481210231781006,1.179145097732544
3.1841132640838623,2.4811980724334717,1.1700797080993652
3.1900880336761475,2.4811899662017822,1.161158800125122
3.1960151195526123,2.4811861515045166,1.1523793935775757
3.201895236968994,2.4811856746673584,1.1437389850616455
3.2077291011810303,2.481189012527466,1.135235071182251
3.2135164737701416,2.481196165084839,1.126866102218628
3.2192580699920654,2.481207847595215,1.1186294555664062
3.2249529361724854,2.4812238216400146,1.110525131225586
3.2306020259857178,2.4812428951263428,1.10254967212677
3.2362070083618164,2.4812660217285156,1.0946996212005615
3.241767406463623,2.481292486190796,1.0869741439819336
3.2472829818725586,2.4813232421875,1.0793719291687012
3.2527551651000977,2.4813575744628906,1.0718892812728882
3.258183002471924,2.4813947677612305,1.0645266771316528
3.263568162918091,2.481435537338257,1.0572799444198608
3.2689096927642822,2.481480360031128,1.0501490831375122
3.27420973777771,2.4815282821655273,1.0431299209594727
3.2794673442840576,2.4815802574157715,1.036222219467163
3.2846827507019043,2.481635093688965,1.0294246673583984
3.2898566722869873,2.4816932678222656,1.0227346420288086
3.2949893474578857,2.4817557334899902,1.0161505937576294
3.300081253051758,2.481821298599243,1.0096709728240967
